                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.91556,                0.70346,                 1.2477,                0.83837,                0.73692,                0.81243,                 0.5886,                 1.0569,                0.79013,                  1.261,                0.00604,                0.00604,                0.00604
                     63,                0.90202,                0.68874,                 1.2422,                0.83698,                0.73867,                0.81294,                0.58941,                 1.0554,                0.78954,                   1.26,               0.005974,               0.005974,               0.005974
                     64,                0.90612,                0.68953,                 1.2434,                0.83933,                0.73898,                0.81502,                0.59134,                 1.0554,                0.78648,                   1.26,               0.005908,               0.005908,               0.005908
                     65,                0.89748,                0.67797,                 1.2376,                0.83593,                0.74485,                0.81563,                0.59249,                 1.0542,                0.78445,                 1.2595,               0.005842,               0.005842,               0.005842
                     66,                0.90701,                0.68752,                 1.2448,                0.83966,                0.74137,                0.81614,                0.59309,                 1.0536,                0.78563,                   1.26,               0.005776,               0.005776,               0.005776
                     67,                0.90176,                0.68432,                 1.2397,                 0.8434,                0.74009,                0.81706,                0.59393,                 1.0529,                0.78524,                 1.2601,                0.00571,                0.00571,                0.00571
                     68,                0.90182,                0.67247,                   1.24,                0.83961,                0.74298,                 0.8175,                0.59467,                 1.0523,                0.78446,                 1.2596,               0.005644,               0.005644,               0.005644
                     69,                0.90059,                0.67166,                 1.2345,                0.84181,                0.74119,                0.81747,                0.59552,                 1.0518,                0.78356,                 1.2588,               0.005578,               0.005578,               0.005578
                     70,                0.88991,                0.66671,                 1.2318,                 0.8424,                0.74088,                0.81793,                0.59597,                 1.0513,                  0.782,                 1.2584,               0.005512,               0.005512,               0.005512
                     71,                0.88936,                0.66241,                 1.2325,                0.84176,                0.74198,                0.81894,                0.59668,                 1.0505,                0.78245,                 1.2576,               0.005446,               0.005446,               0.005446
                     72,                0.88603,                0.65326,                 1.2256,                0.83933,                0.74385,                0.81941,                0.59733,                 1.0502,                0.78207,                 1.2572,                0.00538,                0.00538,                0.00538
                     73,                0.88518,                0.64907,                 1.2254,                0.83798,                0.74628,                0.81993,                0.59843,                 1.0499,                0.78068,                 1.2566,               0.005314,               0.005314,               0.005314
                     74,                 0.8767,                0.64182,                 1.2211,                0.84114,                0.74541,                 0.8205,                0.59891,                 1.0498,                0.78015,                 1.2563,               0.005248,               0.005248,               0.005248
                     75,                0.87815,                0.64988,                 1.2206,                0.83965,                0.74819,                0.82086,                0.59914,                   1.05,                0.77792,                 1.2562,               0.005182,               0.005182,               0.005182
                     76,                0.87988,                0.64441,                 1.2209,                0.84229,                0.74792,                0.82186,                0.60029,                 1.0497,                0.77557,                 1.2561,               0.005116,               0.005116,               0.005116
                     77,                0.86888,                0.63577,                 1.2155,                0.84469,                0.74515,                0.82245,                0.60098,                 1.0495,                0.77345,                 1.2562,                0.00505,                0.00505,                0.00505
                     78,                0.88006,                0.63167,                 1.2193,                0.84668,                0.74417,                 0.8229,                0.60155,                 1.0494,                0.77214,                 1.2562,               0.004984,               0.004984,               0.004984
                     79,                0.87225,                0.63065,                 1.2118,                0.84742,                0.74349,                0.82316,                0.60185,                 1.0492,                0.77094,                 1.2561,               0.004918,               0.004918,               0.004918
                     80,                0.86498,                0.62609,                 1.2107,                0.84599,                0.74468,                0.82333,                0.60218,                  1.049,                0.76968,                 1.2559,               0.004852,               0.004852,               0.004852
                     81,                0.87307,                0.62167,                 1.2123,                0.84627,                0.74533,                0.82358,                0.60276,                  1.049,                0.76833,                  1.256,               0.004786,               0.004786,               0.004786
                     82,                0.86244,                0.61679,                 1.2073,                0.84512,                0.74735,                0.82411,                0.60311,                 1.0488,                0.76622,                  1.256,                0.00472,                0.00472,                0.00472
                     83,                0.85985,                0.61899,                 1.2068,                0.84409,                0.74832,                0.82486,                0.60349,                 1.0485,                0.76472,                 1.2559,               0.004654,               0.004654,               0.004654
                     84,                0.85291,                0.60392,                 1.2009,                0.84309,                0.74991,                 0.8253,                 0.6043,                 1.0481,                0.76314,                 1.2559,               0.004588,               0.004588,               0.004588
