                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2541,                0.86244,                 1.4277,                0.64782,                0.58474,                0.61622,                0.39172,                 1.2846,                0.90982,                 1.4428,               0.004654,               0.004654,               0.004654
                     84,                 1.2494,                0.86086,                  1.423,                0.65789,                 0.5819,                0.61758,                0.39268,                 1.2843,                0.90635,                 1.4424,               0.004588,               0.004588,               0.004588
                     85,                  1.245,                0.85733,                 1.4223,                0.65813,                0.58156,                0.61683,                0.39346,                 1.2851,                0.90763,                 1.4434,               0.004522,               0.004522,               0.004522
                     86,                 1.2538,                0.86111,                 1.4292,                0.65741,                0.58457,                0.61735,                0.39378,                 1.2848,                 0.9059,                 1.4438,               0.004456,               0.004456,               0.004456
                     87,                 1.2495,                0.85389,                 1.4223,                0.65295,                 0.5861,                0.61812,                0.39374,                  1.285,                 0.9064,                  1.444,                0.00439,                0.00439,                0.00439
                     88,                 1.2453,                  0.851,                  1.416,                0.65358,                0.58448,                 0.6174,                0.39368,                 1.2856,                 0.9055,                 1.4441,               0.004324,               0.004324,               0.004324
                     89,                 1.2424,                0.84938,                   1.42,                0.65288,                0.58687,                0.61713,                0.39305,                 1.2848,                0.90507,                 1.4429,               0.004258,               0.004258,               0.004258
                     90,                 1.2402,                0.84583,                 1.4181,                  0.652,                0.58867,                  0.617,                0.39322,                 1.2858,                0.90445,                 1.4427,               0.004192,               0.004192,               0.004192
                     91,                 1.2351,                0.84004,                  1.418,                 0.6551,                0.58663,                0.61717,                0.39253,                 1.2861,                0.90273,                 1.4436,               0.004126,               0.004126,               0.004126
                     92,                  1.232,                0.83274,                 1.4155,                0.65811,                0.58806,                 0.6185,                0.39361,                 1.2867,                0.90237,                 1.4435,                0.00406,                0.00406,                0.00406
                     93,                 1.2358,                0.83694,                 1.4068,                0.65714,                0.58822,                0.62003,                0.39468,                 1.2862,                0.90184,                 1.4427,               0.003994,               0.003994,               0.003994
                     94,                 1.2301,                0.83087,                 1.4112,                0.65803,                0.59152,                0.62042,                0.39475,                 1.2882,                0.90353,                 1.4444,               0.003928,               0.003928,               0.003928
                     95,                 1.2307,                0.83199,                 1.4129,                0.65749,                0.59429,                0.62187,                0.39635,                 1.2874,                0.90209,                 1.4422,               0.003862,               0.003862,               0.003862
                     96,                 1.2285,                0.83008,                 1.4081,                0.65623,                0.59436,                0.62098,                0.39581,                 1.2869,                0.90162,                 1.4416,               0.003796,               0.003796,               0.003796
                     97,                  1.231,                0.82721,                 1.4107,                0.65681,                0.58918,                0.62075,                0.39544,                 1.2869,                  0.902,                 1.4417,                0.00373,                0.00373,                0.00373
                     98,                 1.2243,                0.81599,                 1.4023,                0.65547,                0.59218,                0.62178,                0.39571,                 1.2864,                0.90045,                 1.4414,               0.003664,               0.003664,               0.003664
                     99,                 1.2223,                0.82284,                 1.4058,                0.66122,                0.59013,                0.62236,                0.39614,                 1.2851,                0.89786,                 1.4404,               0.003598,               0.003598,               0.003598
                    100,                 1.2224,                0.81351,                 1.4039,                0.65956,                0.59281,                0.62242,                0.39662,                 1.2851,                0.89841,                 1.4404,               0.003532,               0.003532,               0.003532
                    101,                  1.223,                0.81741,                 1.4053,                0.66237,                0.59008,                0.62282,                0.39679,                 1.2862,                0.89768,                 1.4415,               0.003466,               0.003466,               0.003466
                    102,                 1.2286,                0.81473,                 1.4006,                0.66006,                0.59057,                0.62227,                0.39739,                 1.2859,                0.89564,                 1.4412,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.2174,                 0.8055,                 1.3981,                0.66235,                0.59009,                0.62322,                0.39743,                 1.2862,                0.89582,                 1.4416,               0.003334,               0.003334,               0.003334
                    104,                 1.2198,                0.80438,                 1.4002,                0.66113,                0.59004,                0.62367,                0.39764,                 1.2863,                 0.8954,                 1.4412,               0.003268,               0.003268,               0.003268
                    105,                 1.2246,                0.80661,                 1.3946,                0.66337,                0.58919,                0.62443,                0.39864,                  1.286,                0.89439,                 1.4407,               0.003202,               0.003202,               0.003202
                    106,                 1.2124,                0.79727,                 1.3997,                0.66151,                0.59228,                0.62571,                0.39935,                 1.2853,                0.89377,                 1.4404,               0.003136,               0.003136,               0.003136
